...ewski	...ewski	subst:sg:nom:m1	1	UNK-->SYMB
1-majowy	1-majowy	adj:sg:nom:m3:pos	1	CERR-->CORR
1-o	1-o	subst:sg:nom:n	1	CORR-->TAGE
10	dziesięć	num:pl:acc:m3:rec	1	COMPD-->SYMB	ERR-->TAGE
12-godzinnej	12-godzinnej	adj:sg:loc:f:pos	1	CORR-->TAGE
126 p	126p	subst:sg:nom:m2	1	CORR-->ERR
15-letnia	15-letnia	adj:sg:nom:f:pos	1	CORR-->TAGE
19-letnia	19-letnia	adj:sg:nom:f:pos	1	CORR-->TAGE
19-letniego	19-letniego	adj:sg:gen:m1:pos	1	CORR-->TAGE
2-giej	2-gi	adj:sg:gen:f:pos	1	CORR-->TAGE
2-o	2-o	subst:sg:nom:n	1	CORR-->TAGE
20-letnia	20-letnia	adj:sg:nom:f:pos	1	CORR-->TAGE
22-letnia	22-letnia	adj:sg:nom:f:pos	1	CORR-->TAGE
25-letnia	25-letnia	adj:sg:nom:f:pos	1	CORR-->TAGE
29-letniego	29-letniego	adj:sg:gen:m1:pos	1	CORR-->TAGE
3,5-kilogramowe	3,5-kilogramowe	adj:sg:acc:n:pos	1	CORR-->TAGE
3-go	3-go	adj:pl:gen:m3:pos	1	CERR-->CERR-TAGE
3-letnia	3-letnia	adj:sg:nom:f:pos	1	CORR-->TAGE
3-letnią	3-letnia	adj:sg:inst:f:pos	1	CORR-->TAGE
3-stopniowe	3-stopniowe	adj:pl:nom:f:pos	1	CERR-->TAGE
30-ci	30-ci	num:pl:acc:m3:rec	1	CERR-->CERR-TAGE
30-letniego	30-letn	adj:sg:gen:m1:pos	1	CORR-->TAGE
30-proc	trzydziestoprocentowy	adj:sg:gen:f:pos	1	CORR-->TAGE
33-letni	trzydziestotrzyletni	adj:sg:nom:m1:pos	1	CORR-->TAGE
36-letniego	36-letniego	adj:sg:acc:m1:pos	1	CORR-->TAGE
3mamy	trzymać	fin:pl:pri:imperf	1	UNK-->SYMB
40-letni	czterdziestoletni	adj:sg:nom:m1:pos	1	CORR-->TAGE
50-ych	50-y	adj:pl:gen:m3:pos	1	CERR-->CERR-TAGE
6-letnią	6-letnia	adj:sg:acc:f:pos	1	CORR-->TAGE
60546.fizjks@iftia.univ.gda.pl	60546.fizjks@iftia.univ.gda.pl	subst:sg:nom:m3	1	PN-->SYMB
80-tą	80-ty	adj:sg:acc:f:pos	1	CERR-->CERR-TAGE
9-tego	9-tego	adj:pl:gen:m3:pos	1	CERR-->CERR-TAGE
9b16v3$pmh$1@news.onet.pl	9b16v3$pmh$1@news.onet.pl	subst:sg:nom:m3	1	PN-->SYMB
A	a	prep:gen	1	UNK-->CW	CORR-->TAGD
A	à	prep:gen	2	UNK-->CW
A.K.M	A.K.M	subst:sg:nom:m3	1	PN-->ACRO
AA	AA	subst:sg:gen:n	4	NCH-->ACRO
AA	AA	subst:sg:nom:m1	8	SYMB-->ACRO
AA	AA	subst:sg:nom:m3	1	NCH-->ACRO
